Mode,Affinity (kcal/mol),Dist from best mode RMSD l.b.,Dist from best mode RMSD u.b.
1,-5.444,0,0
2,-5.421,1.474,3.032
3,-5.317,1.782,3.991
4,-5.304,0.9464,3.481
5,-5.188,1.675,3.104
6,-5.091,2.15,3.652
7,-4.914,1.717,3.869
8,-4.889,10.18,11.45
9,-4.852,2.025,3.877
