Mode,Affinity (kcal/mol),Dist from best mode RMSD l.b.,Dist from best mode RMSD u.b.
1,-9.081,0,0
2,-8.42,9.627,14.58
3,-8.374,6.225,10.92
4,-8.266,6.199,10.9
5,-8.114,7.917,12.97
6,-8.058,1.723,2.332
7,-7.986,6.244,11.05
8,-7.668,2.071,6.923
9,-7.434,8.387,13.87
