Mode,Affinity (kcal/mol),Dist from best mode RMSD l.b.,Dist from best mode RMSD u.b.
1,-9.932,0,0
2,-9.848,4.634,8.104
3,-9.805,4.928,8.108
4,-9.614,4.064,10.2
5,-9.607,3.445,6.129
6,-9.553,2.534,4.959
7,-9.435,2.298,7.438
8,-9.412,3.102,9.33
9,-9.364,2.529,3.939
