Mode,Affinity (kcal/mol),Dist from best mode RMSD l.b.,Dist from best mode RMSD u.b.
1,-10.99,0,0
2,-10.98,0.03272,9.579
3,-10.95,4.607,8.899
4,-10.93,4.601,12.39
5,-10.91,2.913,4.516
6,-10.91,2.898,10.27
7,-10.85,4.777,12.39
8,-10.85,4.78,8.499
9,-10.73,3.057,4.79
