Mode,Affinity (kcal/mol),Dist from best mode RMSD l.b.,Dist from best mode RMSD u.b.
1,-9.425,0,0
2,-8.736,1.526,2.112
3,-8.542,2.862,5.705
4,-8.476,5.605,10.18
5,-8.419,2.347,7.008
6,-8.385,4.973,9.283
7,-8.359,4.741,7.948
8,-8.349,5.997,10.57
9,-8.048,1.486,2.035
