Mode,Affinity (kcal/mol),Dist from best mode RMSD l.b.,Dist from best mode RMSD u.b.
1,-8.903,0,0
2,-8.725,2.389,2.876
3,-8.554,2.651,6.813
4,-8.417,3.282,6.903
5,-7.886,8.912,13.83
6,-7.842,13.93,18.8
7,-7.758,14.27,19.11
8,-7.621,3.28,6.234
9,-7.501,11.35,15.32
