Mode,Affinity (kcal/mol),Dist from best mode RMSD l.b.,Dist from best mode RMSD u.b.
1,-6.999,0,0
2,-6.636,4.273,7.302
3,-6.512,2.17,2.225
4,-6.33,2.018,3.276
5,-6.306,2.023,2.208
6,-6.195,3.584,6.606
7,-6.101,3.036,3.306
8,-6.098,1.631,2.326
9,-5.959,3.179,5.905
