Mode,Affinity (kcal/mol),Dist from best mode RMSD l.b.,Dist from best mode RMSD u.b.
1,-6.327,0,0
2,-6.274,3.094,6.225
3,-6.255,1.886,2.482
4,-6.232,1.457,2.298
5,-6.21,3.239,5.676
6,-6.178,1.521,2.283
7,-6.16,3.64,5.087
8,-6.099,3.314,5.972
9,-5.777,4.224,6.353
