Mode,Affinity (kcal/mol),Dist from best mode RMSD l.b.,Dist from best mode RMSD u.b.
1,-9.553,0,0
2,-9.472,3.654,8.7
3,-9.39,1.956,6.999
4,-9.388,2.659,3.342
5,-9.361,1.205,2.113
6,-9.29,2.85,8.846
7,-9.231,2.455,5.313
8,-9.229,2.267,8.475
9,-9.214,2.712,7.985
