Mode,Affinity (kcal/mol),Dist from best mode RMSD l.b.,Dist from best mode RMSD u.b.
1,-11.01,0,0
2,-11,0.05834,9.552
3,-10.66,2.609,4.079
4,-10.65,2.604,10.11
5,-10.5,3.281,6.004
6,-10.39,2.858,4.521
7,-10.18,2.381,3.663
8,-10.14,1.748,9.902
9,-10.09,1.728,3.277
