Mode,Affinity (kcal/mol),Dist from best mode RMSD l.b.,Dist from best mode RMSD u.b.
1,-8.272,0,0
2,-7.893,2.509,6.759
3,-7.471,3.754,7.333
4,-7.232,3.604,6.758
5,-7.185,3.159,4.411
6,-7,3.179,4.622
7,-6.871,3.268,8.306
8,-6.8,11.66,17.03
9,-6.503,3.976,7.404
